,text_clean,sentiment
1363,think deserv nike brand ambassador even day justdoit,neutral
1364,don’t ask dream crazi ask they’r crazi enough justdoit ❤️,negative
1365,nike support fair play fair labor law competit it’ past time discrimin type stop justdoit,negative
1366,leap time simmi dine sa da tay justdoit,neutral
1367,make someth similar amp put logo special line shoe match justdoit,neutral
1368,superb piec must read justdoit,positive
1369,believ in someth even mean sacrif everything💯 justdoit✔️ uaapseason bravertoday feumbt🔰🐂 blessedlife🙏🏽,negative
1370,nike know in novemb voter not vote djt make potu in novemb voter like help remov gop offic holder offic governor senat congressmen dogcatch bluewav protectthevot justdoit resist,neutral
1371,no excus quoteoftheday michaeljordan goalset changinglivespur youcandoit noexcus inspirationdaili hardworkded gogetit dreambig justdoit iwil bestlife…,negative
1372,saw ad in full kill danger judg wonder stori base scene worth trillion sermon justdoit,negative
1373,it’ friday fun love ❤️ justdoit justdoit✔️ laomizbeauti laomizbrid laomizbeautystudio laomizbeautyexperi beautyexpert makeupeduc skin…,positive
1374,lmao 🤣🤣 cori booker dunc walkaway democratsareunhing democratsdestroyamerica democrat miseri caus polici turn beauti citi shithol walkaway justdoit,negative
1375,make america great justdoit blacklivesmatt allivesmatt,positive
1376,justdoit kaepernick,neutral
1377,lt ask dream crazi ask crazi enough justdoit nike,negative
1378,air yesterday could watch quickli becom one favorit nikead ever believeinsometh justdoit,positive
1379,mayn mayn 😂😂 justdoit mayn,neutral
1380,nikead featur remind one word one mean everyth exist relat subject tell kaepernick risk sacrif relat subject footbal justdoit nike,negative
1381,justdoit trust win,positive
1382,justdoit stop support slave labor boycottnik,negative
1383,sell foreign shit begin would american know last year america trade surplu world purchas fuck thing sell especi damn justdoit campaign came,negative
1384,y’all got y’all feet’ today justdoit kotd,neutral
1385,probabl think st amend pretti friggin awesom amp use privileg bring attent inequ amp abus someth aspir nike justdoit,negative
1386,nike win keep destroy shit alreadi paid for🤣🤣 nikewin justdoit✊🏾✊🏾✊🏾,negative
1387,leadership not achiev sidelin don’t walk fight win love senatefamili justdoit kavanop,positive
1388,think good way support right american free speech inspir million american individu corpor justdoit right thing put someon moral clariti right thing spokesperson,negative
1389,think new nike air maxx shoe justdoit,neutral
1390,i’ll gladli take aren’t use anymor justdoit,negative
1391,kolin kaepernick commerci mean everyth justdoit nike proud,positive
1392,credit eric clark fb justdoit,positive
1393,like ivanka justdoit,negative
1394,stand kneel nobl caus like blacklivesmatt 💯worthi sacrific recogn man integr without integr may confus but rest us not takeakne justdoit,negative
1395,let’ not encourag youth like lad plaigeris school like nike plagiar epidem sweep school in usa justdoit,negative
1396,will put open sunday nfl small tv get tiger vs rori justdoit ⛳️,neutral
1397,photog bizzi thoma jone girl inc model model com justdoit model plussizemodel inspir women teengirl effyourbeautystandard loveyourcurv beauti bossladi,positive
1398,keep smile in dream know futur excitedli wait impati nice weekend justdoit,positive
1399,resign justdoit,negative
1400,amaz proud daughter wear nike justdoit,positive
1401,nike think noth preciou american freedom speech justdoit,negative
1402,one guy say “you’r horse” no biggi two say you’r better buy saddl thousand no million say dumptrump votethemout justdoit,negative
1403,la base friend watch life parti sunset blvd sep photooftheday love womeninfilm supportindiefilm indiefilm academyqualifi debut losangel hollywood zioncontrol justdoit,positive
1404,want start buy brand afford rdworld hardwork justdoit,neutral
1405,it’ critic day understand belief attitud valu stakehold someth compani don’t alway spend enough time apcoinsight’ nike’ approach kaepernick justdoit campaign via,negative
1406,best commerci year istandwithkap justdoit,positive
1407,imagin nike think think justdoit,neutral
1408,❤️thi justdoit repost,neutral
1409,veteran wrestl fan adopt michigand thank not blind what go in countri outspoken import justdoit,negative
1410,dont dissappear better justdoit myrtl beach south carolina,neutral
1411,nike seen unpreced social engag follow justdoit kaep campaign biggest spike in engag nike past year centr around divers amp social issu via,positive
1412,justdoit nike issa savage😂,neutral
1413,believ justdoit,negative
1414,melania think justdoit,neutral
1415,believ nurs not discrimin mental health concern justdoit,negative
1416,one favorit inagarten justdoit storeboughtisfin,positive
1417,super great justdoit,positive
1418,cynic use populist racist sentiment lie basi hijack power satiat ego everyth undo everyth obama humili in front journalist lie persist deni anyth moron could prove true justdoit,negative
1419,like made no follow ego justdoit,negative
1420,justdoit return damn nike respect law enforc offic militari not pig,negative
1421,drove hr last night t’the beach got realiz “crud forgot trunk pick bad boy justdoit kag,negative
1422,justdoit great messag,positive
1423,nikememefatigu real thing guilti charg justdoit,negative
1424,cool enough want wear jean sock figur good day nike love nike justdoit,positive
1425,“run teach us keep move forward one step time especi in pain moment run run runningtherapi therapi getoutsid blueski sunshin love freshair breath freedom stepbystep forward justdoit youcandoit starttoday feelbett,positive
1426,nike justdoit nike inflluenc,neutral
1427,think justdoit think racist shit say today one beauti commerci ever seen istandwithnik ikneelwithkap,negative
1428,power ✊🏽🔥 fratern istandwithcolin nike civilright justdoit policebrut repost,positive
1429,exactli think decid stand mine industri speak commun must crazi justdoit nomoreblast callthemout,negative
1430,brand tear world apart advertis becom belief violenc rais hand protest interrupt silenc nike kaepernick justdoit,negative
1431,justdoit ceo connect podesta,negative
1432,like peopl fact never forget time kap met militari vet suggest kneel respect way protest anthem gottadotheeduc justdoit,negative
1433,wow nike nail justdoit colink,positive
1434,justdoit backtochurch join us sunday amp sermon theshift worship go lit grammi amp stellar nomine new worship leader us repost share daretoimagin wedi church,positive
1435,exactli …… justdoit,neutral
1436,justdoit well done nike,positive
1437,arrest racist arsonist justdoit,neutral
1438,incred justdoit,negative
1439,america think got elect impeach next justdoit,neutral
1440,bring tear anyon say anyth inspir loco see peopl put amaz messag heartbreak wrong america day inspir messag kid treat trash justdoit,negative
1441,everi black person buy nike product colin kaepernick need read book asap justreadit justdoit,neutral
1442,colin kaepernick nike commerci full video via justdoit,neutral
1443,think nail one justdoit,negative
1444,hoodrat stuff friend justdoit nike,negative
1445,think takeakne not flag takeakne anthem takeakne unjust system allow polic brutal poc justdoit justdonateit,negative
1446,get pair pleas justdoit,neutral
1447,great night famili littl tenni movi laugh nonfl justdoit,positive
1448,not flag not militari takeakne justdoit,negative
1449,nike justdoit ad hilari,positive
1450,justdoit like nike campaign,neutral
1451,ran mile nike⁠ run club jadepos happyfriday justdoit applewatch nikeplu run nikerun nikefuel,neutral
1452,nike respond burn thing justdoit justdoitsaf nike,positive
1453,justdoit believ in someth even mean sacrif everyth,negative
1454,still dude no matter perfect match justdoit holdhimdown kneelwithkap,negative
1455,adventuretravel hang beach replac hang cliff drewtrippin adventur travel mountainclimb gardenofthegod airhead justdoit…,neutral
1456,vite no kavanaugh women around world watch it’ justdoit,neutral
1457,believ in someth even mean sacrif everyth justdoit,negative
1458,someon gotta say might well nike justdoit,neutral
1459,well sir person want thank servic countri amp peopl men women in militari like make militari greatest in world not size tech advanc weapon but courag amp strength soldier justdoit,negative
1460,give chariti even mean buy sock justdoit buy black nike sock in la store donat homeless,neutral
1461,empower divers toler strength in advers justdoit,neutral
1462,happi friday love whatev take make thing happen today justdoit,positive
1463,takeakne justdoit think equal total opposit croni win bigli 😂😂,positive
1464,“sacrific someth even mean never win anyth atlanta falcons” justdoit falcon nike,negative
1465,see video like keep repeat belong in wild belong in wild resist urg get one pet amp instead make donat great work drjanegoodal justdoit,positive
1466,made complet ash justdoit ashhol,neutral
1467,could run campaign in unit state promot higher call human meanwhil ‘employ’ children sweat shop in asia mayb kid famili voic “sacrific everything” campaign hypocrit justdoit,neutral
1468,bought kid nike soccer cleat shin guard yesterday i’m think nike want take stand bigotri racial injustic trump’ america resign justdoit,negative
1469,first amend truth in advertis allow select use peopl want repres slogan justdoit mean kaepernick kneel in protest peac,negative
1470,og came thru in monarch justdoit,neutral
1471,funni justdoit,positive
1472,anxieti fill dread saw law enforc time could reason sure life worth pair burn nike blacklivesmatt justdoit racism kaepernick thisisamerica policebrut,positive
1473,perfect🤣 ⤵️⤵️⤵️ nike nikeboycott justdoit justblewit,positive
1474,gonna leav us special forc troop seek visa famili heroic iraqi interpret justdoit nike realsacrific,positive
1475,“don’t ask dream crazi ask they’r crazi enough” justdoit,negative
1476,crazi dream abl work someth like one day power ad justdoit,negative
1477,in case anyon need remind dream big good justdoit,positive
1478,went way yesterday but brand new nike duffel bag 🤷‍♀️ teamnik justdoit,neutral
1479,mcconnel ryan screw regard fund wall midterm follow advis command militari buildthewal justdoit,neutral
1480,easi player protest time amp dime organ protest march discuss amp help group in area feel injustic occur nflkickoff colinkaepernick justdoit nfl,negative
1481,yeah boo’ support show commerci but cheer though isupportkaepernick justdoit,negative
1482,inspir presid die presid obama left offic thank nike inspir commerci justdoit,negative
1483,charg managerlif grassrootsfootbal saffronwaldentown youngblood first friendli in bag winner asid thefa foral justdoit newseason sponsor by…,neutral
1484,i’m say nike air monarch may not stylish but they’r definit great run you’r big bad can’t look shoe way caus racist 😢😭 justdoit,positive
1485,no complain high price son nike gear custom life justdoit,negative
1486,grand granddad encourag grandchildren follow in footstep justdoit justsayin lgbtiq,neutral
1487,mayb everi singl american no matter treat respect amp common courtesi know hard peopl like wrap mind around justdoit,negative
1488,sure bruh😂😂got mine like justdoit,neutral
1489,justdoit oh justburnit,negative
1490,trump know mean anyon els justdoit,neutral
1491,love love love love love ad nike justdoit,positive
1492,justdoit,neutral
1493,new balanc founder gave nearli trump newbal part solut justdoit chang shoe new balanc chicagoburnsaskaepernickearn trumpwh nike nfl usa kavanaughforscotu obamacov obamalegaci,neutral
1494,ad everything🙌🏾 inspirational🤗♥️ market brilliant👏🏾 awesom “don’t ask dream crazi ask they’r crazi enough nike stay win justdoit takeakneeinnik takethekne,positive
1495,brilliant novemb th must vote justdoit,positive
1496,congratul 👏🏾 dream never die nofear justdoit 👍🏾👍🏾,negative
1497,think resign justdoit,negative
1498,excus simpli manifest fear convinc thedeelow justdoit,negative
1499,not think go futur promis no one motivationalquot motiv believeinyourself goforit justdoit motiv quotes…,negative
1500,team nike justdoit imwithkaep didn’t see anyon burn jordan’ though hypocrisi money well spent nike,negative
1501,stay woke fella encourag shoot shot justdoit,neutral
1502,they’v plan extens market analysi compani don’t someth els better resigndonald justdoit,neutral
1503,everyth ・・ don’t ask dream crazi ask they’r crazi enough justdoit sound full film link in bio,negative
1504,pay attent deadlin roll in last particip but want in ecnm last chanc regist bring croc opportunitiesknock justdoit croc caiman gator gharial gottacatchemal,neutral
1505,nike alway justdoit ad brilliantli sorri bad grammar emopo,negative
1506,yeah say wanna say but still ride home team nike justdoit tough loss but skrait gone aight translat straight ok be…,negative
1507,ad not controversi it’ inspir justdoit,negative
1508,last in lineup insid lightbox astarisborn start in lucki day tiff that’ get sacrific stop restroom screen justdoit,positive
1509,want boycott nike justdoit but you’ll also need start boycot nba mlb nfl ncaa veteran job discount etc,neutral
1510,tgif ✊🏾 messag nike idiot justdoit safe burningman yourchoic,positive
1511,impost syndrom real bruh best ordinari self still love campaign tho itsonlyacrazdreamyuntilyoudoit justdoit,positive
1512,america think vote justdoit,neutral
1513,understand even year old explain come racism natur justdoit thank thank blacklivesmatt,positive
1514,actual answer trump one black dollar justdoit,neutral
1515,marri justdoit,negative
1516,respect flag fridayfeel maga justdoit,negative
1517,one took justdoit,neutral
1518,justdoit bwoodknow pre fall madeinnyc nike wedontlistenwelead lower east side,neutral
1519,get littl tire spoof mostli see but one gold 😂😂 justdoit,negative
1520,thank balloon twitter ask big deposit in paypal account fine whiskey justdoit,positive
1521,physic therapi time justdoit,negative
1522,guess freedom love vetsagainsttrump go vote voteblu votebluetosaveamerica bluewav bluetsunami justdoit traitortrump winteriscom,positive
1523,t🤦‍♀️ presid realiti tv tragicomedy👺 time get seriou politically🧐 bringit justdoit voteblu democratsworkusa 💙💙,negative
1524,power mechan arm muscl chang whack ball mesmer justdoit serena nike,negative
1525,could no faith without good work could lightn without thunder fire without heat jame kennedi justdoit,negative
1526,i’m head today buy pair spanki new shoe probabl gear justdoit,neutral
1527,in short nike doesn’t need older republican conserv trump support consum compani eye younger nonwhit american live in urban area cash spend nike’ product justdoit,negative
1528,saw ad reduc tear cheer saturday hope win emopo justdoit usopen,positive
1529,not learn institut colleg indoctrin camp hope lose eve game in new uniform thankyounik nikead justdoit,positive
1530,favorit nike justdoit whocar coffe motiv itsyourlif goforit,positive
1531,can’t wait get new nike weekend nike justdoit kaepernick believeinsometh,positive
1532,imagin countri million poor homeless peopl privileg peopl burn cloth shoe spite justdoit veteransforkaepernick istandwithkap truth,negative
1533,team brother i’m retir polic offic fought racial injustic in polic depart year in detroit see kaepernick meet “demon chaser” justdoit takeakne blacklivesmatt retiredcop demonchas retweet,neutral
1534,dear nike realest everybodi get nike product kwanzaa issa movement justdoit sign kaepernick support black woman ✊🏽,negative
1535,nike investor happi colin kaepernick ad justdoit,positive
1536,say everyon quit justdoit,neutral
1537,burn justdoit sabqtiyapahai,negative
1538,nike lower price justdoit,negative
1539,complet ridicul part justdoit,negative
1540,thank courag say you’v support year you’v got support forev justdoit,positive
1541,no question justdoit ✔😂,negative
1542,nike ©️special edit cortez justdoit nike kaepernick justdoit,neutral
1543,believ in someth even mean sacrif tv time justdoit,negative
1544,rapport in industri stellar belov fashion expertis experi deni justdoit celebrityspotlight,neutral
1545,goodmorn friday restday goodmorn friday weekend positivevib posit tgfad box hardwork dedic determin work grind eat nike justdoit…,neutral
1546,congratul continu make histori victoryisyour justdoit usopen usopen,positive
1547,understand protest but anyon tell colinkaepernick sacrif season start qb sport radio say could back right got mil ad sure sacrif everyth nikead justdoit,negative
1548,chariti golf tourney yesterday support veteran giveaway golf shoe guess made nike whocar getagrip justdoit,negative
1549,mayb rather worri nike tri deflect worri peopl appoint think mayb could think put countri interest think nike control justdoit,negative
1550,snow justdoit nike,neutral
1551,damn nike chill justdoit,negative
1552,i’v heard colleg ozark cool i’m gonna go gym wear nike free run fantast lightweight run shoe comfort work in well stylish function justdoit imwithkaep imwithkap,positive
1553,hehehehe😂😂 friend bring friend each😂😂 no fear justdoit,negative
1554,ye it’ import regist vote but way import actual vote you’r legal allow vote justdoit we’r live nightmar happen major stay home elect day vote,negative
1555,respect gangsta well play well play much respect broham justdoit,negative
1556,justdoit,neutral
1557,state nike ad justdoit wildcard,neutral
1558,shock poll nike’ brand favor plung point follow kaepernicknikead justdoit newbal usa newbrand patriot not part solut part problem coasttocoast uk nike trumpwh obamalegaci obamacov,negative
1559,repost get repost ・・ im done nike colin kaepernick fridayfunnee😂😁😂😁 nike justdoit nikereact nikejustdidit repost with…,positive
1560,hope will stand in washington soon remov justdoit impeachmentjustdoit,positive
1561,think first amend right protest import blind nation i’m guess prove profit think justdoit takeakne,negative
1562,don’t know legit but funni controversi justdoit safe disclosur not endors but encourag st amend discuss,negative
1563,premast done justdoit,positive
1564,fir plan nationwid tax audit justdoit fridayfeel morningrush lovethursday everybeatingheartcount throwback,neutral
1565,friend wonder might happen blowhard endors oxygen test justdoit,neutral
1566,everyon take knee justdoit,neutral
1567,happi realli damn free😍😍❤❤ tgif friyay justdoit,positive
1568,nike keep win justdoit,positive
1569,colin kaepernick nike commerci full video justdoit likenik,negative
1570,adida armor nike justdoit,neutral
1571,pleas justdoit,positive
1572,couldn’t agre not word nike justdoit nikeboycott,neutral
1573,new virtual client conveni well afford noexcus justdoit exercis turneroundfitnessllc acceptingnewcli pamelathetrainerturn virtualtrain,negative
1574,know know 🤣🤣 nike nikead nikejustdoit justdoit kanayookanayo joke meme nollywood funnt instafunni nigeria nigerianjok africanmem nollywoodjok comedi africancomedi laugh blacklivesmatt woke blackgirlmag blac…,neutral
1575,hour left vote in scientif poll 😃❎ justdoit,neutral
1576,oh ghad😂😂 nigerian av gone mad final justdoit,neutral
1577,late like mf nike support caus overlook justdoit,negative
1578,textil worker seek reduct exchang rate justdoit fridayfeel morningrush lovethursday everybeatingheartcount throwback,negative
1579,not sport wear sneaker care wear cloth compani logo but agre take knee like commerci justdoit nikead,neutral
1580,detect nice bust tonight sever good one late tonight gun drug money deputi not kneel nation anthem lock drug dealer even without sponsorship respect way justdoit,negative
1581,jess lee peterson shut univis report racist prop via fridaythought fridaymotiv justdoit believeinsometh makeamericagreatagain,neutral
1582,di man yuh deh widd nah pay one bill inna yuh lyfe leff himm justdoit ✔️ 😂🇯🇲,neutral
1583,realli like new commerci justdoit,negative
1584,free speech absolut right constitut mock daili cancelkavanaugh newyorktimesop impeachtrump justdoit justburnit kapernick,negative
1585,one bother sister justdoit,negative
1586,great ad thank nike justdoit,positive
1587,nike th anniversari justdoit campaign narrat colinkaepernick vid via,neutral
1588,one not greatest advertis ever wit justdoit,negative
1589,wait wait let guess christian justaguess justdoit,positive
1590,racism problem in america help foster grow need address fakepresid racistpresid justdoit,negative
1591,ano daw yung sikreto ko takbo takbo lang talaga chz srsli tho even haven’t run everyday sinc last week still glad mileag in check keep km monthli goal well finger crossed🤞🏼 nrc justdoit cantstopwontstop projectbinkypt,positive
1592,dib teach ahol justic whistleblow veteran come first victim famili no glove in ring chariti justdoit newyorkc legal payback amp satisfact judg guy mitchel must eat box short amp sock subway nyc,neutral
1593,ye justdoit,positive
1594,justdoit,neutral
1595,f☁️ even slept in wait daylight 😒still ️⃣ miler smile justdoit friyeah morningrun dogsoftwitt,positive
1596,anambra manufactur highlight constraint local industri justdoit fridayfeel morningrush lovethursday everybeatingheartcount throwback,positive
1597,crazi american justdoit,negative
1598,sometim play around adob lightroom learn almost everyth justdoit aikenonthi gwarinpa estat,positive
1599,repostbi part thisisamerica teamdl nike justdoit colinkaepernick imwithkap nfl blacklivesmatter…,neutral
1600,justdoit meme fan made poster give life long week 😂😂,neutral
1601,footbal player kneel not boycott flag anthem but injustic right know it’ mistak still keep handcuf colinkaepernick justdoit,negative
1602,gonna go order bunch food restaur pay let get cold leav justdoit,neutral
1603,veteran’ perspect takeakne justdoit,neutral
1604,ask dream crazi ask crazi enough justdoit,negative
1605,could explain but get resign justdoit ✔️,negative
1606,doubl take saw justdoit hash tag first time thought “just dolt” made no sens slow,neutral
1607,nike’ favor drop doubl digit follow new ‘just it’ campaign colin kaepernick favor point purchas consider key demograph favor declin rather improv justdoit,neutral
1608,believ in someth even mean sacrif everything💯 justdoit✔️ uaapseason bravertoday feumbt🔰🐂 blessedlife🙏🏽 ab cbn studio,negative
1609,isn’t sweet justfakeit fakenew melaniatrump justdoit nike,positive
1610,fuck ye justdoit woo,negative
1611,realli need put face justdoit campaign scrap know first thing integr go real american real valu,neutral
1612,everi black person in shoot class wear nike super petti didnt even plan justdoit,neutral
1613,may favorit one 😂😂 justdoit black planet,positive
1614,anatomi american sham believ in someth even mean sacrif everyth justdoit documentari nike sweatshop behind swoosh via,negative
1615,alreadi scrafic everyth come program get ged justdoit cyclebreak,neutral
1616,watch justdoit colin video read motiv inspir other shame friday inertia seiz day,positive
1617,got earli knock spartacu workout feel good justdoit earnit,positive
1618,resign traitor justdoit,negative
1619,truth god less hate god doesn’t want need materialist earthli thing love love good lord word justdoit,positive
1620,i’v slept here’ solut sign kaep justdoit,neutral
1621,nike justdoit,neutral
1622,commerci awesom peopl upset commerci upset go in world lie becom normal corrupt racial profil murder rape loss liberti justdoit,negative
1623,nike geniu purchas shoe justdoit,positive
1624,regrann tbt mood ❤️🏈 happi kickoff even though y’all bs ck 😒✊🏽 colinkaepernick nike justdoit thursdaynightfootbal last catch epic 🙌🏽😜…,positive
1625,justdoit get flamingo,neutral
1626,final hire day season tonight show anytim pm interview held spot plan stay hour kettl river blvd wyom mn nowhir justdoit,neutral
1627,caption no excus want someth someon your either work make excus choos justdoit✔️ hourfit hour fit hollywood…,negative
1628,nike global they’ll surviv went in outlet yesterday pack foreign go back next weekend get anoth pair justdoit,neutral
1629,resign justdoit,negative
1630,thank inspir crazyenough justdoit,positive
1631,win justdoit,positive
1632,believ in someth even make sens justdoit,negative
1633,saturday 🎾🏆 justdoit,neutral
1634,good one larri justdoit,positive
1635,😢😭😢😭 true inspir everyth need great within justdoit,positive
1636,wow nike nail ❤️ want take stuffi old but beauti made northamptonshir shoe new gener sound crazi they’r busi copi us 🇬🇧 origin amp justdoit,positive
1637,listen speech road sound like justdoit,neutral
1638,believ in someth even mean sacrif everyth kapernick justdoit,negative
1639,better worthi spokesman would ever impeach justdoit,positive
1640,nikead singl handedli weed racist ty justdoit,neutral
1641,still much time justdoit,negative
1642,still much time justdoit,negative
1643,rex ryan suggest team in 😳😳 atlantafalcon doit justdoit,neutral
1644,🤣🤣 think relax trump amp justdoit,negative
1645,brother wear nike justdoit,neutral
1646,usefulidiot boycottnik justdoit readtsunami foxnew pleas stop invit usefulidiot cathyareu fox news program sick tire listen,negative
1647,bold even mean face greatest fear justdoit nike nfl footbal ad commerci like model monochrom portrait portrait billboard nigerianmodel nigeria…,negative
1648,ok ceo got employe day cake wear jersey work live in beirut lebanon btw make no mistak global campaign justdoit imwithkap,negative
1649,go suck yuh mudda dawg popcaan nike justdoit,negative
1650,ye justdoit,positive
1651,peopl call dream crazi watch nike “dream crazy” justdoit,positive
1652,entir time spartacu lie doc de classifi knew guess justdoit moment bahahahahaha,negative
1653,find way creat one justdoit fridaymotiv,negative
1654,happi hear work pay blessup fam amp backend team don’t let light blind amp stay focus pave way throne justdoit ✊🏾,positive
1655,sport good store remov nike product in reaction colin kaepernick ad justdoit,positive
1656,thought song fuck big in germani justdoit,negative
1657,end day oppos colinkaepernick peac protest polic brutal favor law enforc brutal unarm nonwhit peopl oshaeterri blacklivesmatt justdoit takeakne,negative
1658,equal fair best justdoit,positive
1659,start week post ft amaz end week anoth nike post next chapter justdoit dream crazi,positive
1660,count us like justdoit justcallu creditvil,negative
1661,organ manual organ livebett memorylan justdoit,negative
1662,organ manual organ livebett memorylan justdoit,negative
1663,exactli repost nike justdoit istandwithkaepernick,neutral
1664,hey ye happi friday learn habit highli success peopl gt travel success lifestyl money yacht millionair kapernick nikead justdoit,positive
1665,bingo point demonstr excit black peopl garbag equal new law polici procedur reduc end brutal noth but profit nike justdoit,negative
1666,not gonna lie ad made tear littl good justdoit collinkaepernick,negative
1667,great pod amp listen pre jimmi carter gut check humanright ❤️ broken angri amp decenc honor soul in wh justdoit,positive
1668,real machin possibl deep state wont allow citizen power one thing keep fake narr racism femin classism etc aliv simpl divid conquer justdoit,negative
1669,woke daughter hand pancak said ooh feel like birthday fridayfeel justdoit justbecaus breakfast,positive
1670,believ in someth even mean sacrif everyth justdoit,negative
1671,best market move ever could done 🙇🏽‍♂️ justdoit,positive
1672,realli don’t care justdoit,negative
1673,kneel in peac protest polic brutal abus peopl color patriot justdoit,negative
1674,believ in someth ❤️ justdoit nike,negative
1675,want stand behind presid peopl look amaz maga justdoit legalizefreedom,positive
1676,support mani soldier amp veteran wear nike combatboot take look tweet amp photo militari troop vet wear that’ll tell nike amp mani other think takeakne justdoit 🇺🇸,positive
1677,spirit bro stop flop justdoit,negative
1678,believ in someth even mean sacrif everyth coreybook judiciarycommitte emailreceipt kavanaugh racialprofil justdoit nike…,negative
1679,casual wear nike shoe no big deal 🤷🏾‍♀️ nike justdoit✔️,neutral
1680,love justdoit stillbeliev britneyspear imustconfess lifego,positive
1681,point blatant lie justdoit,negative
1682,ye ye 😂😂🔥🔥 pootietang sahdahtay chrisrock legend youknowitshotout love movi cinema film life nike justdoit dirtyde froggi bucki jbsmoov crownroy,positive
1683,bitch justdoit,negative
1684,thing republican think elect justdoit worstpresidentev,neutral
1685,believ in someth even mean sacrif everyth shirt don’t let polit get in way stand what’ right show support shirt buy justdoit sacrificingevertyth tshirt gift mean,negative
1686,tgif friday justdoit emopo ballhogsportstalk wzye check fb live in,positive
1687,pleas stop promot crap report colleg justdoit gear far one colleg,negative
1688,nike want realli help build plant southsid justdoit marti feldman eye cori booker clown name asparagu trump derang syndrom turn left flock shit eatin pigeon,negative
1689,enugu oper python danc ye peopl would die but would not give right even mean loos everyth what’ right biafran justdoit resist occup biafra nigeria python danc code name murder,negative
1690,special peopl burn stuff paid justdoit✔️,negative
1691,should’v use in sacrific campaign see tweet time christlik in sacrif trump empir incom amp salari potu serv plutocrat enrich presidenti action justdoit alternativefact,neutral
1692,darwin award winner justdoit,positive
1693,new nike sponsor😎 nike justdoit mobound,neutral
1694,pay forward goforit justdoit kenthimmel,positive
1695,manchest unit fan love paul pogba’ mockeri liverpool instagram hennessyvsclass burtreynold abuja justdoit pogba serena uefanationsleagu morningrush lago naomiosaka,positive
1696,justdoit playlikeagirl divers themax serena vs naomi se passé pm morrow usopen,positive
1697,think someon hasn’t bought nike in year would go buy new pair also order apparel onlin kneelwithnik kneelwithkap nike justdoit impeachtrump,neutral
1698,guess butt ol butt hurt snowflak kaepernick nike justdoit,negative
1699,ask dream crazi ask crazi enough justdoit,negative
1700,trump stir controversi distract one made flag polic brutal lie sob alternativefact trumpli justdoit trumpismentallyil,negative
1701,jump in 😂😂 nike justdoit kianicol getnot,neutral
1702,clearli doesn’t agre ‘s decis add justdoit campaign think,neutral
1703,may still drop sneaker black friday tho justdoit,neutral
1704,dream crazi enough justdoit,negative
1705,nike slide year year love babi nikeismyshit colinkaepernick nike justdoit excus toe lol🙈,positive
1706,think justdoit,neutral
1707,justdoit well cours doesn’t understand in case justtrashit,positive
1708,best damn ethic market campaign ever justdoit nike 💥🙌,positive
1709,barawo peopl justdoit,negative
1710,hmm not racist kkhole trumpcrimefamili resign justdoit firstamend thamemdmentnow,negative
1711,went bought pair nike yesterday i’m go back next week get anoth pair kneel ck justdoit,neutral
1712,here’ one heard st time justdoit here’ anoth termlimit no career politician also voterid elimin voter fraud justdoit,negative
1713,don’t pictur wear obj’ jersey pictur obj wear justdoit,neutral
1714,latest collect young mind daili thank riseup justdoit,positive
1715,justdoit long lowest lowest bottom not death,negative
1716,but one predat protect brother resignnow justdoit,neutral
1717,wait thought talk boycot jordan week ago 🤔🤔 nike say justdoit,neutral
1718,abl bless cousin experi us open one birthday present amaz time justdoit,positive
1719,justdoit well in case justtrashit,positive
1720,better justdoit,positive
1721,it’ avail platform ain’t got wait slip justdoit follow 👉🏽 musicislif musiclov musicislov music musiclife…,positive
1722,good morn world nike justdoit imwithkap fuckem tgif third ward houston,positive
1723,becom selfi purpos drive growth life movement determin trusttheprocess nike justdoit houston texa,neutral
1724,want kind bold colin go kaepernick 👊❤🔥 nike inspir selfi instagood instalik instagram justdoit likeforlik likelik blogger bloggerlife…,neutral
1725,congrat amp makayla make captain justdoit,positive
1726,stand nike justdoit,neutral
1727,friday fourp market social good justdoit anonym catch tiger wood activ focus parent rosh part content seri,positive
1728,start endors pumpkin spice flavor would bwb in northeast die dehydr getoverit justdoit,negative
1729,man violat confression rule risk expuls would violat district hero nuclear code rule say can’t fire corey booker justdoit believ it’ right,neutral
1730,got check like nike im chicago windyc يوم الجمعه buenviern justdoit afldeescat soundcloud nrlstormsouth np point sumika sierraburgess デレステar verdeliss outnow,positive
1731,call jimjordanresignnow time american peopl rid gopcorrupt gopli gophypocrisi justdoit,negative
1732,crazi power messag bring togeth commun learner build even stronger one justdoit,negative
1733,good morn 🖤🙏🏾💋 weekend messag ✂️ ➖🛡➗🔪 separateyourselffromtheneg justtasha fridayfeel fridaymotiv justdoit fixyourlif relationshipgo squadgoal lifego,positive
1734,crazi dream justdoit,positive
1735,ol’ reliabl still rock em scuf ✊🏾 nikeairforc justdoit,positive
1736,veteran activ duti member feel disrespect boycott well sheeiit former veteran current activ duti soldier still buy militari boot athlet product 🙌🏾🙌🏾🙌🏾 justdoit boycottnik nike vetsfornik,negative
1737,kapernick ad use look even wear logo proud big star like make associ product strong messag social justic justdoit,positive
1738,justdoit apart,neutral
1739,wake champion day “all champion disciplin justdidit justdoit nike disciplin workout fitlif morn workout loveyourself full energi heal peace…,neutral
1740,best add ever seen heard known justdoit patriot million athlet relat positivevib inspir motiv,positive
